area,rooms,floor,year_built,price
67.5,2,8,1962,61891.85
57.9,1,19,2010,54643.52
69.7,3,13,1992,97542.04
82.8,3,12,1987,94241.91
56.5,4,5,2006,93208.6
56.5,2,6,1967,40534.75
83.7,2,22,1993,89821.06
71.5,3,4,1994,91105.52
53.0,2,19,1991,62089.15
68.1,4,20,1983,102765.52
53.0,3,1,1973,57166.1
53.0,2,20,1991,75704.72
63.6,3,17,2015,106992.53
31.3,3,12,2005,51012.25
34.1,1,15,2002,32745.96
51.6,4,1,1975,86086.39
44.8,2,14,1963,63441.75
64.7,3,6,2011,75542.37
46.4,2,5,1996,48601.84
38.8,3,11,2013,59134.51
82.0,2,4,1980,64343.28
56.6,1,13,1973,39604.16
61.0,4,11,1990,75068.93
38.6,1,3,2014,31925.05
51.8,2,1,2007,57820.56
61.7,4,6,1977,83873.22
42.7,4,18,1966,83293.08
65.6,2,24,1969,58524.84
51.0,3,10,1966,71835.56
55.6,2,5,1992,57259.79
51.0,2,23,1982,58584.88
87.8,2,10,1980,90975.53
59.8,3,12,1978,60810.81
44.1,3,2,2007,66131.57
72.3,3,13,2020,92435.06
41.7,3,8,1978,61274.39
63.1,1,2,1995,57998.05
30.6,2,20,1988,67636.96
40.1,1,1,2019,34784.37
63.0,2,5,1977,56952.37
71.1,2,9,1961,60530.19
62.6,3,17,1960,66601.65
58.3,2,9,2006,59138.35
55.5,1,11,1964,57376.92
37.8,1,15,1979,49762.78
49.2,3,24,1970,59854.41
53.1,3,6,2001,61148.78
75.9,1,23,1961,69499.62
65.2,1,3,1962,44901.19
33.6,3,17,1982,59672.84
64.9,1,5,2014,63218.24
54.2,3,12,1971,51021.57
49.8,3,18,1979,81551.99
69.2,1,14,1964,75298.89
75.5,1,21,1996,64744.11
74.0,4,24,1997,96898.35
47.4,2,11,1989,56888.04
55.4,2,9,1968,58934.02
65.0,3,2,1993,82760.6
74.6,4,12,2012,120808.59
52.8,4,3,2003,76980.44
57.2,3,3,1994,62489.12
43.4,2,1,2011,38430.79
42.1,1,8,2017,37136.22
72.2,3,22,1981,85219.04
80.3,2,8,2003,100220.46
58.9,2,11,1983,56859.77
75.1,4,9,1976,95180.27
65.4,1,5,1969,52475.4
50.3,2,14,1989,69142.5
65.4,1,3,2015,86506.07
83.1,2,21,2018,86047.75
59.5,1,5,2005,50175.69
83.5,1,5,1982,80117.33
20.7,1,19,1991,32281.97
72.3,3,14,1976,100729.9
61.3,3,4,2009,82883.85
55.5,2,13,2010,61718.99
61.4,4,10,1976,88207.68
30.2,2,18,1973,50236.21
56.7,2,8,1968,64568.76
65.4,3,8,1999,84558.09
82.2,2,7,1961,85701.48
52.2,4,8,2004,91673.71
47.9,1,14,1984,58119.67
52.5,4,19,1998,88766.01
73.7,1,6,1968,57713.64
64.9,3,1,2013,81312.15
52.1,2,23,1981,71807.97
67.7,4,15,2002,85889.85
61.5,1,1,2005,59151.66
74.5,2,17,1963,68390.35
49.5,4,1,1985,72162.81
55.1,2,15,2017,79752.57
54.1,3,23,1988,74705.69
38.0,3,2,2004,57302.19
64.4,2,14,1993,55754.88
63.9,3,21,1982,86295.2
60.1,2,8,1996,71116.2
56.5,4,8,1970,98217.5
38.8,1,19,1965,31637.77
53.7,2,7,1977,57643.76
54.9,4,19,1980,83081.26
48.0,3,6,2001,81147.21
57.6,2,6,1995,60911.62
66.1,3,3,2000,81538.83
88.3,2,7,1997,93213.2
62.6,1,19,1993,61261.02
63.9,2,8,1976,59226.27
58.9,2,10,1996,66247.55
31.2,2,20,1984,53511.06
59.6,1,15,1997,46316.68
60.9,4,15,2017,92952.46
96.9,4,1,1971,100057.7
57.1,3,20,1982,85042.13
64.5,2,7,2012,55886.7
59.5,2,4,2001,58394.24
42.5,3,6,1981,60747.98
77.1,3,1,1980,98669.11
71.3,1,5,1986,60065.69
71.9,4,23,2016,97040.39
46.4,3,1,1990,79198.92
81.0,4,4,1965,79553.39
39.0,3,22,1986,37989.73
68.8,3,2,1999,84842.43
