brand,model,year,engine_volume,mileage,horsepower,price
Mercedes-Benz,E-Class,2022,2.6,24,114,343026.3
Skoda,Octavia,2011,1.9,10,139,306101.09
Volkswagen,Passat,2013,1.6,280,111,152025.93
Toyota,Corolla,2013,3.1,57,341,524742.8
Volkswagen,Golf,2011,2.0,191,210,318954.07
Mercedes-Benz,GLC,2008,1.6,192,128,203447.84
Hyundai,Elantra,2008,2.2,223,309,365127.78
Mercedes-Benz,C-Class,2001,1.5,36,116,266317.6
Nissan,Qashqai,2017,1.4,235,236,374641.9
Skoda,Superb,2004,1.9,167,179,261564.5
Ford,Kuga,2022,1.3,69,195,410062.55
BMW,3 Series,2011,1.8,75,178,295845.85
Ford,Focus,2013,1.3,183,234,313427.6
Toyota,Corolla,2012,2.5,61,328,540877.17
Skoda,Kodiaq,2002,2.8,252,145,211466.7
Audi,A3,2014,1.3,253,76,124557.44
Ford,Kuga,2014,3.1,130,255,439889.15
Nissan,Leaf,2002,2.4,51,345,472608.21
Kia,Ceed,2019,2.1,193,148,277129.8
Ford,Focus,2018,1.2,54,134,333410.82
BMW,5 Series,2014,1.2,61,184,353615.83
Mercedes-Benz,E-Class,2018,2.0,160,271,472736.56
Hyundai,Tucson,2007,1.9,38,211,361877.11
Hyundai,Elantra,2022,1.9,66,167,380357.54
Nissan,Qashqai,2012,2.0,284,286,366993.78
Ford,Kuga,2022,1.6,218,143,251518.35
Kia,Sportage,2009,1.9,17,203,361151.4
Audi,A3,2001,2.0,256,331,400023.96
BMW,3 Series,2010,3.3,204,171,277364.99
Toyota,Corolla,2021,1.0,37,275,480591.9
Nissan,Leaf,2018,2.2,244,210,321691.43
BMW,X5,2008,2.0,139,82,204642.84
Toyota,RAV4,2008,2.0,85,318,498195.24
BMW,X5,2005,2.2,242,192,263406.28
BMW,5 Series,2009,3.0,239,79,187195.92
Volkswagen,Passat,2021,2.2,198,149,292104.15
Audi,Q5,2007,1.3,11,236,404404.99
Nissan,X-Trail,2014,2.2,74,168,332474.66
Kia,Rio,2005,1.9,61,276,423013.31
Audi,Q5,2006,1.7,43,220,390941.78
Volkswagen,Tiguan,2019,2.1,249,106,217271.22
Mercedes-Benz,GLC,2016,1.9,138,333,489929.09
Audi,A3,2003,1.9,252,74,214406.1
Nissan,Leaf,2007,1.9,107,295,412974.04
Hyundai,Santa Fe,2012,1.4,85,96,202880.31
Ford,Focus,2013,2.4,228,193,280772.71
Volkswagen,Tiguan,2017,1.9,110,104,254099.42
Kia,Rio,2022,2.1,128,306,485993.17
Kia,Rio,2016,1.6,149,171,295192.22
Volkswagen,Tiguan,2017,1.4,234,146,251298.45
Ford,Focus,2013,1.8,264,151,199815.82
Nissan,X-Trail,2010,2.0,82,215,383441.59
Nissan,Leaf,2009,1.8,165,262,331157.14
Nissan,Qashqai,2012,2.0,268,293,359868.44
Toyota,Corolla,2019,1.0,73,122,267222.72
BMW,3 Series,2015,3.0,45,154,352483.07
Hyundai,Elantra,2013,1.6,257,198,214218.55
Mercedes-Benz,E-Class,2002,1.4,53,280,433904.01
Skoda,Kodiaq,2017,2.6,128,333,487459.38
Volkswagen,Golf,2005,1.4,190,252,322218.7
Kia,Ceed,2019,2.1,79,341,535921.39
Hyundai,Tucson,2002,1.4,276,296,298727.75
BMW,3 Series,2018,1.8,228,81,169678.87
Audi,Q5,2002,1.9,199,162,187329.26
Ford,Kuga,2011,1.6,265,259,308404.97
Kia,Sportage,2007,2.4,196,155,289548.93
Kia,Ceed,2004,2.7,236,346,425825.61
Skoda,Octavia,2016,1.6,70,330,462410.15
Kia,Ceed,2009,2.1,177,267,383091.31
BMW,X5,2020,1.3,141,79,251516.32
Ford,Focus,2016,2.1,164,157,264726.12
Skoda,Kodiaq,2008,2.4,281,106,157111.48
Nissan,Qashqai,2012,2.1,219,292,380889.76
Volkswagen,Golf,2009,1.7,16,244,425038.35
Mercedes-Benz,GLC,2007,1.9,20,278,454847.96
Audi,Q5,2006,1.8,209,118,208294.6
Volkswagen,Tiguan,2001,1.9,260,93,125833.57
Toyota,Camry,2001,1.7,73,175,331336.56
Audi,Q5,2003,2.1,189,332,365433.55
BMW,3 Series,2008,1.4,137,275,354763.31
Audi,A3,2013,1.0,271,238,323667.11
Toyota,Camry,2010,2.5,129,227,355568.2
Skoda,Kodiaq,2020,2.0,57,310,520408.72
Audi,Q5,2006,2.1,78,192,334729.01
Toyota,Camry,2018,1.6,271,89,188127.69
Mercedes-Benz,GLC,2003,1.8,239,125,185829.52
BMW,3 Series,2001,1.5,261,349,442442.98
Skoda,Octavia,2022,2.6,240,177,299398.0
