area,rooms,floor,year_built,price,age
69.4,2,10,2021,79791.84,4
61.0,3,22,2021,72313.7,4
55.2,3,24,2021,73616.18,4
72.3,3,13,2020,92435.06,5
65.8,4,14,2020,99758.66,5
52.7,1,2,2020,57910.82,5
79.6,2,15,2019,90506.27,6
40.1,1,1,2019,34784.37,6
56.9,1,8,2019,66682.63,6
47.1,2,17,2018,40996.76,7
38.5,2,18,2018,51277.08,7
83.1,2,21,2018,86047.75,7
67.1,3,6,2018,102095.4,7
71.4,2,20,2018,86070.87,7
48.4,1,11,2018,51006.13,7
55.0,3,20,2018,71869.75,7
69.9,1,10,2018,67173.35,7
55.1,2,15,2017,79752.57,8
60.9,4,15,2017,92952.46,8
72.2,3,15,2017,90206.35,8
42.1,1,8,2017,37136.22,8
47.8,1,12,2017,54464.85,8
46.1,2,8,2017,57207.63,8
61.5,1,1,2016,60133.82,9
71.9,4,23,2016,97040.39,9
32.0,2,2,2016,27706.98,9
65.4,1,3,2015,86506.07,10
48.7,2,8,2015,66959.31,10
63.6,3,17,2015,106992.53,10
72.2,4,15,2014,93816.66,11
64.9,1,5,2014,63218.24,11
38.6,1,3,2014,31925.05,11
47.7,3,12,2014,63025.57,11
70.3,2,17,2014,83127.35,11
38.8,3,11,2013,59134.51,12
64.9,3,1,2013,81312.15,12
35.9,1,4,2013,24994.81,12
29.6,2,22,2013,54421.52,12
71.8,3,14,2013,82434.5,12
72.3,2,18,2013,76341.66,12
41.4,4,19,2012,79683.84,13
64.5,2,7,2012,55886.7,13
47.3,3,22,2012,66126.69,13
74.6,4,12,2012,120808.59,13
56.2,1,14,2012,66531.85,13
52.4,1,22,2012,50317.51,13
51.0,2,23,2011,67285.29,14
64.7,3,6,2011,75542.37,14
43.4,2,1,2011,38430.79,14
81.8,1,24,2011,88616.03,14
55.5,2,13,2010,61718.99,15
67.7,2,9,2010,69026.57,15
71.7,4,2,2010,106154.83,15
67.8,3,4,2010,88160.97,15
38.5,3,18,2010,58957.15,15
57.9,1,19,2010,54643.52,15
61.3,3,4,2009,82883.85,16
81.6,2,17,2009,83708.76,16
75.8,1,8,2009,62953.75,16
88.0,2,6,2008,82025.37,17
56.4,1,6,2008,54758.49,17
35.8,3,11,2008,65019.37,17
51.8,2,1,2007,57820.56,18
53.4,2,2,2007,74727.06,18
44.1,3,2,2007,66131.57,18
58.3,2,9,2006,59138.35,19
41.1,2,7,2006,58886.38,19
65.1,3,4,2006,79016.71,19
52.9,1,12,2006,47304.95,19
56.5,4,5,2006,93208.6,19
74.5,2,13,2006,75198.68,19
41.5,2,8,2005,54063.02,20
61.5,1,1,2005,59151.66,20
31.3,3,12,2005,51012.25,20
59.5,1,5,2005,50175.69,20
51.5,3,10,2004,77087.99,21
43.9,4,9,2004,71177.52,21
86.5,1,8,2004,82821.45,21
44.1,4,15,2004,82054.37,21
38.0,3,2,2004,57302.19,21
52.6,2,1,2004,29221.44,21
52.2,4,8,2004,91673.71,21
67.7,1,15,2003,57766.24,22
45.9,3,21,2003,70625.21,22
55.3,1,3,2003,67992.2,22
80.3,2,8,2003,100220.46,22
50.7,4,7,2003,81692.49,22
52.8,4,3,2003,76980.44,22
67.7,4,15,2002,85889.85,23
34.1,1,15,2002,32745.96,23
67.2,2,22,2002,68969.83,23
56.0,2,5,2002,59514.48,23
46.7,2,4,2002,62945.64,23
49.6,2,23,2002,51586.03,23
62.8,3,12,2002,93653.25,23
53.1,3,6,2001,61148.78,24
83.8,1,19,2001,85208.5,24
60.9,3,23,2001,91294.03,24
59.5,2,4,2001,58394.24,24
48.0,3,6,2001,81147.21,24
50.2,2,22,2000,73487.34,25
66.1,3,3,2000,81538.83,25
69.8,2,23,1999,63270.89,26
